Problem,Model,Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
two_body,MLP,train,10,49887324.559561245,2217339.6506323367,0.4141104894200266,2.63268657950144e-05
two_body,MLP,train,100,52574775.93661887,3425142.8377191587,0.41347519063554844,0.00046860821951117255
two_body,MLP,train,500,52666863.8523697,3442254.6595942625,0.41342057517631314,0.0004884282393988461
two_body,MLP,val,10,49825797.529549554,2238446.1781129185,0.41545296043717195,3.089410565864373e-05
two_body,MLP,val,100,52567866.794151336,3409852.5476979017,0.4148137659676553,0.0004704877270032684
two_body,MLP,val,500,52666836.93625397,3442326.382232138,0.41475347128121287,0.0004907404152447263
two_body,MLP,test,10,49816769.70837697,2241937.9444836895,0.3959903077346927,3.062131711403667e-05
two_body,MLP,test,100,52565794.21520389,3406798.161759736,0.39536341338726444,0.000459143528287063
two_body,MLP,test,500,52667172.478304416,3442370.7405704292,0.3953037584387342,0.00047888277752106167
two_body,LSTM,train,10,74721481.30514409,22475290.473743223,0.41376989087894167,0.0009061860083318653
two_body,LSTM,train,100,76603728.70474282,26204227.82665417,0.41285959819458073,0.0020377156773169936
two_body,LSTM,train,500,77298663.81266233,26320958.14337402,0.41263487798596404,0.0021088173466001637
two_body,LSTM,val,10,74198383.28834787,23058217.43106854,0.41516283558195555,0.0008860865286495765
two_body,LSTM,val,100,74863923.50564234,28528452.169424072,0.4145523667566914,0.0020158732806387653
two_body,LSTM,val,500,75552340.08475089,28690645.11327228,0.4143236509349014,0.00212610569357576
two_body,LSTM,test,10,74072932.44693765,23172577.036017813,0.3957106174086419,0.0008649556599057298
two_body,LSTM,test,100,74863377.25964561,28529734.452602543,0.39511075866983425,0.001966293385766237
two_body,LSTM,test,500,75552616.56165732,28690677.21414447,0.3948877540404772,0.0020745152543647366
two_body,PINN,train,10,48818451.07412561,752467.9158426765,0.41413221134850187,6.48987826165864e-05
two_body,PINN,train,100,48493332.95814282,2459365.3044237,0.4136604986191227,0.000823271233630544
two_body,PINN,train,500,48237075.61625327,2875355.7198386756,0.413660605508309,0.000981379915295857
two_body,PINN,val,10,49210924.478974216,611738.1435679803,0.4154767886105105,6.141432292395974e-05
two_body,PINN,val,100,48498856.0649246,2458792.207497305,0.4150049316875447,0.0008138681576942876
two_body,PINN,val,500,48247119.592720985,2870380.405653881,0.4149539868958907,0.000983819342679048
two_body,PINN,test,10,48808317.454243794,751850.7892754893,0.39601761200749186,6.460962031700066e-05
two_body,PINN,test,100,48502126.38537605,2461434.1486630957,0.3955508432147879,0.0007982909674052737
two_body,PINN,test,500,48245822.15952611,2871171.296098326,0.3955082911645832,0.0009597207749209441
two_body_force_increased_acceleration,MLP,train,10,43968583.10064403,2399589.4648487484,0.41205942790012184,0.00020859992719891824
two_body_force_increased_acceleration,MLP,train,100,44728021.142962575,8405322.48517146,0.4121643738827928,0.0010353309471803193
two_body_force_increased_acceleration,MLP,train,500,42148945.14862996,7909410.922837227,0.41192761934432726,0.0015581480551940714
two_body_force_increased_acceleration,MLP,val,10,43773951.15185846,2398064.5008026054,0.3555395358333112,0.00019456713417707996
two_body_force_increased_acceleration,MLP,val,100,44675464.42267274,8447789.878988806,0.35561533579312304,0.0009626633950492228
two_body_force_increased_acceleration,MLP,val,500,42149276.79854578,7910014.697809316,0.35539153155285297,0.0014490291006612598
two_body_force_increased_acceleration,MLP,test,10,43880541.564898,2443686.053283369,0.44664044305827455,0.00021646449902102644
two_body_force_increased_acceleration,MLP,test,100,44683167.80756773,8419843.508643249,0.4467465349597196,0.0010718785309321677
two_body_force_increased_acceleration,MLP,test,500,42112310.78109379,7892148.476226374,0.4464920663710335,0.00162570092330592
two_body_force_increased_acceleration,LSTM,train,10,53082809.019037545,9202514.444219809,0.41204244122853045,0.00035702975554274775
two_body_force_increased_acceleration,LSTM,train,100,54102348.823511526,11983643.99829241,0.41161354237298303,0.0011227724690309534
two_body_force_increased_acceleration,LSTM,train,500,54164502.37899891,11922185.908684695,0.41161634739324543,0.0011261502027126616
two_body_force_increased_acceleration,LSTM,val,10,52764632.003447205,9506542.204146147,0.355515530557554,0.0003340720994544793
two_body_force_increased_acceleration,LSTM,val,100,54140301.53402091,11947239.210771233,0.3551029206480752,0.0010450769900767344
two_body_force_increased_acceleration,LSTM,val,500,54165339.54721886,11922621.928575147,0.35510430167039764,0.0010467349463356163
two_body_force_increased_acceleration,LSTM,test,10,53111118.32010415,9126566.755252572,0.44662491951041633,0.0003650295427617699
two_body_force_increased_acceleration,LSTM,test,100,54045882.83322121,12011482.149850396,0.44617864296299076,0.0011678924594401964
two_body_force_increased_acceleration,LSTM,test,500,54119032.40443669,11939227.206418253,0.44618185296622803,0.001171739570676736
two_body_force_increased_acceleration,PINN,train,10,74854695.83260904,29155353.478827745,0.4118257218884465,0.001389683570223503
two_body_force_increased_acceleration,PINN,train,100,71061842.73721051,31110580.778773922,0.4120608566590596,0.001036822409225762
two_body_force_increased_acceleration,PINN,train,500,74722934.88981871,27298612.822275307,0.41188840300795343,0.0009669976959975977
two_body_force_increased_acceleration,PINN,val,10,74265703.35565823,29749183.709140923,0.35530682235349753,0.0012908196052714344
two_body_force_increased_acceleration,PINN,val,100,71071858.73499659,31098935.756294645,0.35552110447889534,0.0009666040275217464
two_body_force_increased_acceleration,PINN,val,500,74723100.0147278,27298738.093939334,0.3553528452354992,0.0008974522419616694
two_body_force_increased_acceleration,PINN,test,10,75191238.23310801,28805264.008782253,0.446392363008708,0.0014542709329462286
two_body_force_increased_acceleration,PINN,test,100,71170448.51504378,31247967.000797663,0.44663065980011163,0.0010683617064228294
two_body_force_increased_acceleration,PINN,test,500,74936995.76119335,27339681.636882763,0.44643828194185503,0.0009924358126938723
three_body,MLP,train,10,990770008.704828,1009542161.2005765,0.27695548498557215,0.003938474282535982
three_body,MLP,train,100,7.156604164113687e+27,1.4313208328227374e+28,8720036717471800.0,1.74400734349436e+16
three_body,MLP,train,500,9548357735.159687,15961399280.150467,0.275846162728398,0.004855286312882247
three_body,MLP,val,10,1130503155.2843564,1180188841.6143203,0.1190934316382532,0.003467061505085004
three_body,MLP,val,100,7.432199572556998e+27,1.4864399145113997e+28,9055837692587842.0,1.8111675385175684e+16
three_body,MLP,val,500,9474806877.71083,15988427964.929781,0.11767573554794851,0.004408544123434279
three_body,MLP,test,10,3066689700.8953896,4523481888.356584,0.17685415331956347,0.002678092528057423
